ResponseId,Q120,MainBranch,Age,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,BuyNewTool,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,AISearchHaveWorkedWith,AISearchWantToWorkWith,AIDevHaveWorkedWith,AIDevWantToWorkWith,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,SOAI,AISelect,AISent,AIAcc,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,AINextSomewhat different,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,ProfessionalTech,Industry,SurveyLength,SurveyEase,ConvertedCompYearly
26383,I agree,"I used to be a developer by profession, but no longer am",35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Colleague;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum)","Online challenges (e.g., daily or weekly coding challenges);Stack Overflow;Programming Games",,19,15,"Developer, embedded applications or devices",,,Other,Ask developers I know/work with;Visit developer communities like Stack Overflow,United Kingdom of Great Britain and Northern Ireland,,,Python,Python,,,,,,,Pandas,Pandas,Pip,Pip,IPython;Jupyter Notebook/JupyterLab;Vim;Visual Studio Code,IPython;Jupyter Notebook/JupyterLab;Vim;Visual Studio Code,Ubuntu;Windows,Ubuntu;Windows,Jira;Markdown File,Jira;Markdown File,Microsoft Teams;Slack;Zoom,Slack;Zoom,,,,,Stack Overflow;Stack Exchange,A few times per month or weekly,No,,"No, not at all",,"No, and I don't plan to",,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
26430,I agree,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Associate degree (A.A., A.S., etc.)","Books / Physical media;On the job training;School (i.e., University, College, etc);Coding Bootcamp",,,13,9,Engineering manager,20 to 99 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,United States of America,USD	United States dollar,113000.0,Python,Go;Rust,BigQuery;Cassandra;Cloud Firestore;PostgreSQL;Redis,,"Amazon Web Services (AWS);Google Cloud;Linode, now Akamai",,FastAPI;Laravel;Vue.js,,,,Composer;Docker;Homebrew;Kubernetes,Kubernetes,Visual Studio Code,Neovim;Nova,MacOS,MacOS,Linear,,Discord;Google Meet;Slack,,ChatGPT,,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,Yes,Yes,Very favorable,Increase productivity;Greater efficiency,Neither trust nor distrust,Learning about a codebase;Project planning;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Writing code,,,,,,Writing code,Yes,People manager,9.0,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,1-2 times a week,3-5 times a week,1-2 times a week,15-30 minutes a day,30-60 minutes a day,Microservices;Automated testing;Continuous integration (CI) and (more often) continuous delivery,Advertising Services,Appropriate in length,Easy,113000.0
26515,I agree,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Video-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow,Udemy;Pluralsight;Coursera,27,19,Data scientist or machine learning specialist,"10,000 or more employees",I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Ask a generative AI tool,United Kingdom of Great Britain and Northern Ireland,GBP	Pound sterling,103000.0,Python,C++;Kotlin;Python,Dynamodb;Neo4J,,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,FastAPI,FastAPI,NumPy;Opencv;Pandas;Scikit-Learn;Torch/PyTorch,NumPy;Opencv;Pandas;Scikit-Learn;Torch/PyTorch,Docker;Homebrew;Pip,,IPython;Jupyter Notebook/JupyterLab;Visual Studio Code,Visual Studio Code;VSCodium,iOS;MacOS;Ubuntu,Android;MacOS;Ubuntu,Notion,Notion,Google Meet;Slack,Slack;Telegram,Bing AI;ChatGPT,Bing AI;ChatGPT;Google Bard AI;WolframAlpha,GitHub Copilot,,Stack Overflow;Stack Exchange,Less than once per month or monthly,Not sure/can't remember,,"No, not really",,Yes,Indifferent,Speed up learning,Somewhat distrust,Learning about a codebase;Committing and reviewing code;Collaborating with teammates ,Project planning;Writing code;Documenting code,Debugging and getting help;Testing code;Deployment and monitoring,Writing code;Documenting code,,,,Project planning,No,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,127862.0
26518,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, full-time",In-person,Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Books / Physical media;Online Courses or Certification,,edX;Udemy;Coursera,4,4,"Engineer, site reliability","10,000 or more employees",I have little or no influence,,,Spain,EUR European Euro,60000.0,Python,Python,,,,,Flask,Flask,NumPy;Pandas;Scikit-Learn;TensorFlow,NumPy;Pandas;Scikit-Learn;TensorFlow,,,Jupyter Notebook/JupyterLab;PyCharm,Jupyter Notebook/JupyterLab;PyCharm,Windows,Windows,,,Discord;Microsoft Teams,Discord;Microsoft Teams,ChatGPT,ChatGPT,,,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per week,"Yes, somewhat",,Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat trust,,Writing code;Debugging and getting help;Testing code,,,,,,Writing code;Debugging and getting help;Testing code,Yes,Individual contributor,12.0,,,,,,,,,1-2 times a week,10+ times a week,1-2 times a week,60-120 minutes a day,15-30 minutes a day,,"Manufacturing, Transportation, or Supply Chain",Appropriate in length,Easy,64254.0
26688,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Hobby;Bootstrapping a business;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written Tutorials;Stack Overflow;Interactive tutorial;Certification videos,,10,7,"Developer, full-stack",20 to 99 employees,I have some influence,Investigate,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,United States of America,USD	United States dollar,175000.0,Python,Python,PostgreSQL,Dynamodb,Amazon Web Services (AWS),,FastAPI,,,,,,Vim;Visual Studio Code,,MacOS,MacOS,,,Slack;Zoom,Ringcentral,,,,,Stack Overflow,Daily or almost daily,No,,"No, not really",AI has the potential to assist in improving poorly comprehensible responses by rephrasing them in a more clear and understandable way.,Yes,Favorable,Greater efficiency,Somewhat distrust,Learning about a codebase;Project planning;Writing code;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring,Debugging and getting help,Collaborating with teammates ,,Debugging and getting help,,,,No,,,,,,,,,,,,,,,,,,Too long,Easy,175000.0
26813,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Hackathons (virtual or in-person);Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial,Udemy;Coursera,9,6,"Developer, back-end",500 to 999 employees,I have little or no influence,,Ask developers I know/work with;Ask a generative AI tool,Mexico,MXN	Mexican peso,970000.0,Python,Go,BigQuery;MySQL;Redis,BigQuery;Elasticsearch;Redis,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Django,,RabbitMQ,RabbitMQ,Docker;Homebrew;Kubernetes;Make,Docker;Homebrew;Kubernetes;Make,PyCharm;Visual Studio Code,Goland,MacOS,MacOS,Confluence;Jira,Confluence;Jira,Microsoft Teams;Slack;Zoom,Slack;Zoom,Google Bard AI,Google Bard AI,,,Stack Overflow,Daily or almost daily,No,,Neutral,Totally agree,Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat trust,Learning about a codebase;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Writing code;Debugging and getting help,Project planning,Writing code,,,,Debugging and getting help,Yes,Individual contributor,6.0,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,1-2 times a week,1-2 times a week,Never,30-60 minutes a day,Less than 15 minutes a day,DevOps function;Automated testing;Observability tools;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,,Appropriate in length,Easy,55532.0
27021,I agree,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Some college/university study without earning a degree,"Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow,Udemy,6,4,"Developer, embedded applications or devices",10 to 19 employees,I have some influence,Given a list,Start a free trial;Visit developer communities like Stack Overflow;Ask a generative AI tool,United Kingdom of Great Britain and Northern Ireland,GBP	Pound sterling,36000.0,Python,Python;Rust,PostgreSQL,PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS);Vultr,,,,,Pip,Pip,Visual Studio Code,Visual Studio Code;Xcode,Windows;Windows Subsystem for Linux (WSL),Ubuntu,Jira,Jira,Microsoft Teams;Signal,Discord;Microsoft Teams;Signal,ChatGPT,,,,Stack Overflow;Stack Exchange,Daily or almost daily,Not sure/can't remember,,Neutral,"Used well, AI would improve the ecperience of suggesting what else the user might mean to be searching for",Yes,Favorable,Greater efficiency;Improve accuracy in coding,Somewhat distrust,Documenting code;Debugging and getting help;Testing code,Writing code,,,,,,Writing code,Yes,Individual contributor,16.0,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,1-2 times a week,1-2 times a week,Never,15-30 minutes a day,15-30 minutes a day,,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,44690.0
27180,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",45-54 years old,"Employed, full-time",Remote,I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Colleague;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow,Pluralsight;Coursera,25,17,Data or business analyst,100 to 499 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd;Research companies that have emailed me,United States of America,USD	United States dollar,190000.0,Python,Python,,,,,,,NumPy;Pandas,NumPy;Pandas,,,,,Android;MacOS,MacOS,Confluence;Jira,,Slack;Zoom,,,,GitHub Copilot,,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat","AI is best used to assist humans for the time being. I see suggestions for better titles to be good. I also think maybe AI could answer ""easy"" questions before they are posted and leave the harder questions for the humans. I imagine AI can assist moderators and editors to clean up questions and answers.",Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Neither trust nor distrust,Learning about a codebase;Project planning;Debugging and getting help;Testing code;Committing and reviewing code;Collaborating with teammates ,Writing code;Documenting code,,,,,,Writing code;Documenting code,No,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,190000.0
27272,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, full-time",In-person,Hobby;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Video-based Online Courses;Written-based Online Courses;Auditory material (e.g., podcasts);Written Tutorials;Click to write Choice 20;Stack Overflow",,10,7,Other (please specify):,100 to 499 employees,I have some influence,Investigate,Start a free trial,United States of America,USD	United States dollar,120000.0,Python,Python,,,,,,,NumPy;Pandas,NumPy;Pandas,,,IPython;Jupyter Notebook/JupyterLab;Notepad++;PyCharm,IPython;Jupyter Notebook/JupyterLab;Notepad++;PyCharm,ChromeOS;Windows,ChromeOS;Windows,,,Google Meet;Microsoft Teams;Slack;Zoom,Google Meet;Signal;Slack,,,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,Neutral,Seems like a good idea I suppose but the expense is huge and I am not sure the benefit is commensurate. Could be.,"No, and I don't plan to",,,,,,,,,,,,Yes,Individual contributor,7.0,Strongly agree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,3-5 times a week,6-10 times a week,Never,Over 120 minutes a day,Over 120 minutes a day,None of these,,Appropriate in length,Easy,120000.0
27288,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Professional development or self-paced learning from online courses,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Books / Physical media;Online Courses or Certification;Coding Bootcamp,,Other;Codecademy,10,1,Other (please specify):,20 to 99 employees,I have little or no influence,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,United Kingdom of Great Britain and Northern Ireland,GBP	Pound sterling,30000.0,Python,Java;JavaScript;Python,PostgreSQL,PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),,,NumPy;Pandas;Scikit-Learn;Torch/PyTorch,NumPy;Pandas;Scikit-Learn;Torch/PyTorch,Godot;Pip,Godot;Pip,Emacs,Emacs,Ubuntu,Windows;Windows Subsystem for Linux (WSL),Confluence;Jira,Confluence;Jira,Microsoft Teams,Microsoft Teams,,,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, somewhat","I think it's a terrible idea. AI tools have their place, but stack overflow is where I come to ask humans about my tech issues. Also, where would you find an AI tool not built by wholesale violation of licenses and exploitative use of human feedback from underpaid developing world gig workers?","No, and I don't plan to",,,,,,,,,,,,Yes,Individual contributor,10.0,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,3-5 times a week,6-10 times a week,1-2 times a week,60-120 minutes a day,30-60 minutes a day,None of these,Financial Services,Appropriate in length,Easy,37241.0
27330,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",In-person,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Online Courses or Certification;On the job training;School (i.e., University, College, etc)",,,15,4,"Developer, desktop or enterprise applications","10,000 or more employees",I have some influence,Given a list,,United States of America,USD	United States dollar,108000.0,Python,Python,,,,,,,,,Make,Make;Pip,Notepad++;PyCharm;Vim;Visual Studio Code,Notepad++;PyCharm;Vim;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Other Linux-based;Windows,Confluence;Markdown File;Microsoft Planner,Confluence;Markdown File;Microsoft Planner,Discord;Microsoft Teams,Discord;Microsoft Teams,ChatGPT;WolframAlpha,ChatGPT;WolframAlpha,,,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),A few times per week,No,,"No, not really",,"No, and I don't plan to",,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,108000.0
27393,I agree,I am a developer by profession,25-34 years old,"Not employed, but looking for work",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;Friend or family member;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial;Other (Please specify):,edX;Udemy;Coursera,4,,"Developer, full-stack",,,Given a list,Ask developers I know/work with;Other (please specify):,India,,,Python,Go;JavaScript;Python,MongoDB;MySQL,Cassandra;Couch DB;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare,Amazon Web Services (AWS);Cloudflare;Firebase;Microsoft Azure;Vercel,Django;jQuery;React,Django;Flask;Next.js;React;Remix;Svelte,,,npm,Docker;Kubernetes;npm;Terraform,PyCharm,PyCharm;Visual Studio Code,Ubuntu,Ubuntu,GitHub Discussions;Markdown File,GitHub Discussions;Markdown File,Google Meet;Slack;Whatsapp,Google Meet;Slack;Whatsapp,ChatGPT,Bing AI;ChatGPT,,,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Collectives on Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"Yes, definitely","Generating better titles, reduce duplication and the XY problem","No, but I plan to soon",Favorable,,Somewhat distrust,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
27436,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, full-time",Remote,Hobby;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,"Colleague;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)",How-to videos;Video-based Online Courses;Stack Overflow,Codecademy;Udemy;Coursera,10,6,Security professional,"10,000 or more employees",I have little or no influence,,Ask developers I know/work with;Other (please specify):,United States of America,USD	United States dollar,170000.0,Python,Java;Python;TypeScript,,,Amazon Web Services (AWS),Amazon Web Services (AWS),Django,,Pandas,Pandas;TensorFlow,Kubernetes;npm,Terraform,Visual Studio Code,Visual Studio Code,MacOS,MacOS;Windows,Confluence;Jira;Markdown File;Wikis,Confluence;Wikis,Discord;Microsoft Teams;Slack,Discord;Slack,ChatGPT,ChatGPT,GitHub Copilot,AWS CodeWhisperer;GitHub Copilot,Stack Overflow,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"No, not really","A huge number of questions asked on StackExchange are 100 or 200-level questions, which can pretty easily be answered by AI. I’d love to see some built-in AI interface where it sees if it can answer your question before you post it. Like, you have a question about using Pandas in <X> way; the answer is Y. Did that help? Y/N. If no, continue to post your question.’",Yes,Very favorable,Increase productivity;Speed up learning;Improve accuracy in coding,Somewhat trust,Documenting code;Debugging and getting help;Testing code,Writing code,,,,,,Writing code,No,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,170000.0
27458,I agree,I am a developer by profession,35-44 years old,"Not employed, but looking for work",,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow,,3,,"Developer, back-end",,,Other,Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd,Armenia,,,Python,C++;Python;R;SQL,PostgreSQL;Redis,PostgreSQL;Redis,,,Django,Django,,,Docker;Pip,Docker;Pip,Visual Studio Code,IPython;PyCharm;Visual Studio Code,Fedora,Fedora,,,Telegram,Telegram,,,,,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat","no idea, sorry","No, but I plan to soon",Indifferent,,Neither trust nor distrust,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
27612,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Books;Written Tutorials;Stack Overflow,Udemy;Coursera,7,7,"Developer, back-end","1,000 to 4,999 employees",I have little or no influence,,Ask developers I know/work with;Visit developer communities like Stack Overflow,India,INR	Indian rupee,,Python,,Elasticsearch;PostgreSQL;Redis,Dynamodb,Amazon Web Services (AWS),Amazon Web Services (AWS),Django,Django;FastAPI;Flask,,,Docker,Kubernetes,,,Ubuntu,Ubuntu,,,,,ChatGPT,ChatGPT;Google Bard AI,,,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, definitely",Better results,Yes,Favorable,Increase productivity;Speed up learning,Somewhat trust,Learning about a codebase;Documenting code;Debugging and getting help,,Writing code;Committing and reviewing code,,,,,,No,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
27624,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Under 18 years old,"Student, full-time",,,Some college/university study without earning a degree,"Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp;Other (please specify):","Formal documentation provided by the owner of the tech;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Stack Overflow;Certification videos;Programming Games",Udemy,4,,,,,Investigate,Ask developers I know/work with;Visit developer communities like Stack Overflow,India,,,Python,C;Cobol;Java;Julia;Kotlin;Lua;Python,,,"Linode, now Akamai;VMware","Digital Ocean;Firebase;Linode, now Akamai;VMware",,,Flutter;NumPy;OpenGL;TensorFlow;Torch/PyTorch,Electron;Flutter;GTK;Keras;NumPy;Opencv;Pandas;Torch/PyTorch,Ant;CMake;Docker;GNU GCC;Godot;Gradle;Make,Ant;CMake;Docker;GNU GCC;Godot;Gradle;Make,IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Kate;Nano;PyCharm;Visual Studio Code,IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Kate;Nano;PyCharm;Visual Studio Code,Android;Arch,Android;Arch,GitHub Discussions;Stack Overflow for Teams;Wikis,GitHub Discussions;Stack Overflow for Teams;Wikis,Telegram;Whatsapp,Telegram;Whatsapp,,,GitHub Copilot;Tabnine,GitHub Copilot,Stack Overflow;Stack Exchange;Collectives on Stack Overflow,A few times per week,Yes,Less than once per month or monthly,"Yes, definitely",Stackoverflow is already is at its best. But AI could eliminate or answer the repeated questions and provide auto-corrections.,"No, but I plan to soon",Unsure,,Neither trust nor distrust,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
27750,I agree,I am learning to code,55-64 years old,"Employed, full-time",Remote,Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;How-to videos;Video-based Online Courses;Stack Overflow,edX,Less than 1 year,,Academic researcher,,,Given a list,Other (please specify):,United States of America,,,Python,Python,Microsoft Access,Microsoft Access,,,,,,,,,Jupyter Notebook/JupyterLab,Jupyter Notebook/JupyterLab,MacOS,Windows,Confluence;Jira,Confluence;Jira,Microsoft Teams;Zoom,Microsoft Teams;Zoom,,,,,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",No opinion,"No, and I don't plan to",,,,,,,,,,,,Yes,Individual contributor,30.0,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,1-2 times a week,3-5 times a week,Never,Less than 15 minutes a day,Less than 15 minutes a day,None of these,,Appropriate in length,Neither easy nor difficult,
27882,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, full-time",In-person,I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Colleague;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Video-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial,,9,9,Other (please specify):,100 to 499 employees,I have little or no influence,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,United States of America,USD	United States dollar,65075.0,Python,Python,,,Google Cloud,Amazon Web Services (AWS),,,NumPy;Pandas,NumPy;Pandas,Pip,Docker;Pip,Atom;Jupyter Notebook/JupyterLab;Notepad++;RStudio;Spyder,Atom;Jupyter Notebook/JupyterLab;Notepad++;Spyder,Windows,,GitHub Discussions;Jira,GitHub Discussions;Jira;Markdown File,Google Chat;Slack;Zoom,Google Chat;Slack;Zoom,,,,,Stack Overflow,A few times per month or weekly,No,,Neutral,,"No, but I plan to soon",Indifferent,,Neither trust nor distrust,,,,,,,,,Yes,Individual contributor,9.0,Agree,Agree,,,,,,,,,,,,,,,,65075.0
27894,I agree,I code primarily as a hobby,Under 18 years old,"Student, full-time",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum);Other (please specify):",Formal documentation provided by the owner of the tech;Recorded coding sessions;How-to videos;Programming Games,,2,,,,,,Start a free trial;Ask a generative AI tool,United Kingdom of Great Britain and Northern Ireland,,,Python,C++;HTML/CSS;Python,,,,,,,,,Pip,Pip;Unreal Engine,PyCharm,PyCharm,Windows,,,,Discord;Telegram,Discord;Telegram,Bing AI;ChatGPT;Google Bard AI,Bing AI;ChatGPT,,,Stack Overflow,Less than once per month or monthly,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",,Yes,Very favorable,Increase productivity;Speed up learning;Improve accuracy in coding,Somewhat trust,Learning about a codebase;Testing code;Committing and reviewing code,Writing code;Debugging and getting help,Project planning;Documenting code;Deployment and monitoring;Collaborating with teammates ,Writing code;Debugging and getting help,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
